NDPI_Pre,NDPI_Post,NDBI_Pre,NDBI_Post,NORMALIZED_NDBI,NORMALIZED_VV,NORMALIZED_VH,RBR_NDBI,RBR_VV,RBR_VH,HH_Pre,HV_Pre,VH_Pre,VV_Pre,HH_Post,HV_Post,VH_Post,VV_Post,IRV_Pre,IRV_Post,Burn_Classification
-0.11597374179428535,0.3725490196076605,-0.06912442396311771,0.5300546448084535,1.0,-0.18128654970754934,-0.6872727272724773,0.0,0.69306930693035,0.18534482758612703,149.0,255.0,232.0,202.0,122.0,64.0,43.0,140.0,2.3693379790938014,1.3128205128201762,1
0.2108433734939124,0.439613526569836,0.24074074074066645,0.4536585365851446,0.3066215688382914,-0.14857142857138614,-0.37430167597744457,1.8844277665714968,0.7412935323379397,0.4552845528451583,60.0,131.0,123.0,201.0,107.0,58.0,56.0,149.0,2.0038240917778194,1.247311827956654,1
0.0,0.3821138211379007,0.0,0.5454545454540496,0.9999999998166667,-0.49999999999985295,-0.8214285714282781,10.0,0.33333333333320264,0.09803921568623607,192.0,255.0,255.0,255.0,14.0,38.0,25.0,85.0,2.1316614420060467,1.7371428571418646,1
-0.22596153846148415,-0.1948051948049418,-0.22596153846148415,0.23999999999952,1.0,-0.6770833333329808,-0.8613138686128243,0.0,0.1925465838508121,0.07450980392153941,198.0,255.0,255.0,161.0,48.0,46.0,19.0,31.0,2.347525891829419,2.1520467836244728,1
-0.19289340101517946,0.7350993377478576,-0.23188405797095848,0.41621621621599125,1.0,-0.09655172413789774,-0.6504854368929934,0.0,0.8238993710686643,0.2117647058822699,142.0,235.0,255.0,159.0,111.0,20.0,54.0,131.0,2.438391699091772,0.5673758865246216,1
0.02608695652173157,0.576086956521426,0.008547008547006112,0.559139784945936,0.9698882951181187,-0.09937888198754678,-0.618604651162503,10.0,0.8192090395475599,0.23563218390791058,140.0,168.0,174.0,177.0,31.0,39.0,41.0,145.0,2.0581929555892713,1.2283464566924298,1
-0.49122807017529496,0.30964467005060425,-0.4836795252224084,0.37234042553171687,-1.0,0.19444444444435444,-0.6181229773460784,0.0,1.4827586206879508,0.23599999999990562,185.0,255.0,250.0,87.0,219.0,68.0,59.0,129.0,2.608695652173579,1.123966942148528,1
-0.24999999999993874,0.2469135802467612,-0.24999999999993874,0.6422764227637054,1.0,-0.20472440944873832,-0.841155234656736,0.0,0.6601307189538169,0.08627450980388773,149.0,255.0,255.0,153.0,219.0,61.0,22.0,101.0,2.512315270935651,1.1040723981897955,1
-0.26237623762369744,0.7045454545450542,-0.26237623762369744,0.5957446808507469,1.0,0.003344481605350052,-0.740614334470737,0.0,1.0067114093952976,0.14901960784307883,142.0,255.0,255.0,149.0,173.0,26.0,38.0,150.0,2.546816479400431,0.5546666666665188,1
-0.6621004566207023,0.07563025210077678,-0.6725663716811183,-0.07246376811588953,-0.8054742641811528,0.26732673267300266,-0.43726235741428243,0.10774218155679773,1.7297297297250547,0.3915343915341844,148.0,182.0,189.0,37.0,98.0,55.0,74.0,64.0,2.652094717668005,1.6176470588229348,1
